000336     16   21
000512     9.98e+001   4.56e+001
000256     1.02e+002   4.57e+001
000128     1.04e+002   4.57e+001
000064     1.05e+002   4.54e+001
000032     1.06e+002   4.52e+001
000016     1.06e+002   4.51e+001
000008     1.06e+002   4.52e+001
000004     1.08e+002   4.51e+001
000002     1.10e+002   4.37e+001
000001     1.05e+002   4.17e+001
5.000000e-001     9.53e+001   4.01e+001
2.500000e-001     8.37e+001   4.15e+001
1.250000e-001     8.21e+001   4.49e+001
6.250000e-002     8.98e+001   4.53e+001
3.130000e-002     9.30e+001   4.23e+001
1.600000e-002     8.69e+001   3.87e+001
000512     1.04e+002   4.39e+001
000256     1.05e+002   4.44e+001
000128     1.05e+002   4.48e+001
000064     1.05e+002   4.50e+001
000032     1.06e+002   4.50e+001
000016     1.05e+002   4.51e+001
000008     1.07e+002   4.51e+001
000004     1.09e+002   4.45e+001
000002     1.09e+002   4.27e+001
000001     1.02e+002   4.07e+001
5.000000e-001     9.03e+001   3.96e+001
2.500000e-001     7.89e+001   4.16e+001
1.250000e-001     7.84e+001   4.55e+001
6.250000e-002     8.70e+001   4.59e+001
3.130000e-002     9.10e+001   4.28e+001
1.600000e-002     8.55e+001   3.89e+001
000512     1.03e+002   4.42e+001
000256     1.04e+002   4.48e+001
000128     1.05e+002   4.50e+001
000064     1.06e+002   4.51e+001
000032     1.06e+002   4.50e+001
000016     1.06e+002   4.52e+001
000008     1.08e+002   4.49e+001
000004     1.09e+002   4.36e+001
000002     1.06e+002   4.15e+001
000001     9.63e+001   3.96e+001
5.000000e-001     8.39e+001   3.92e+001
2.500000e-001     7.32e+001   4.18e+001
1.250000e-001     7.40e+001   4.61e+001
6.250000e-002     8.37e+001   4.66e+001
3.130000e-002     8.87e+001   4.33e+001
1.600000e-002     8.39e+001   3.93e+001
000512     1.03e+002   4.41e+001
000256     1.05e+002   4.47e+001
000128     1.05e+002   4.50e+001
000064     1.05e+002   4.51e+001
000032     1.06e+002   4.52e+001
000016     1.08e+002   4.52e+001
000008     1.10e+002   4.41e+001
000004     1.08e+002   4.20e+001
000002     1.01e+002   3.98e+001
