000336     16   21
000512     9.67e+001   4.59e+001
000256     9.56e+001   4.52e+001
000128     9.51e+001   4.50e+001
000064     9.47e+001   4.49e+001
000032     9.44e+001   4.49e+001
000016     9.44e+001   4.50e+001
000008     9.44e+001   4.50e+001
000004     9.41e+001   4.49e+001
000002     9.37e+001   4.51e+001
000001     9.38e+001   4.53e+001
5.000000e-001     9.49e+001   4.57e+001
2.500000e-001     9.68e+001   4.53e+001
1.250000e-001     9.38e+001   4.50e+001
6.250000e-002     9.09e+001   4.70e+001
3.130000e-002     9.40e+001   5.08e+001
1.600000e-002     1.07e+002   5.42e+001
000512     9.67e+001   4.58e+001
000256     9.56e+001   4.52e+001
000128     9.51e+001   4.50e+001
000064     9.47e+001   4.49e+001
000032     9.45e+001   4.49e+001
000016     9.44e+001   4.50e+001
000008     9.43e+001   4.49e+001
000004     9.39e+001   4.50e+001
000002     9.37e+001   4.52e+001
000001     9.41e+001   4.54e+001
5.000000e-001     9.55e+001   4.57e+001
2.500000e-001     9.74e+001   4.53e+001
1.250000e-001     9.43e+001   4.50e+001
6.250000e-002     9.11e+001   4.71e+001
3.130000e-002     9.45e+001   5.09e+001
1.600000e-002     1.08e+002   5.43e+001
000512     9.67e+001   4.59e+001
000256     9.56e+001   4.52e+001
000128     9.51e+001   4.50e+001
000064     9.47e+001   4.49e+001
000032     9.44e+001   4.49e+001
000016     9.44e+001   4.50e+001
000008     9.42e+001   4.49e+001
000004     9.37e+001   4.50e+001
000002     9.38e+001   4.54e+001
000001     9.46e+001   4.56e+001
5.000000e-001     9.62e+001   4.58e+001
2.500000e-001     9.79e+001   4.53e+001
1.250000e-001     9.47e+001   4.49e+001
6.250000e-002     9.13e+001   4.71e+001
3.130000e-002     9.47e+001   5.10e+001
1.600000e-002     1.08e+002   5.44e+001
000512     9.67e+001   4.59e+001
000256     9.56e+001   4.52e+001
000128     9.51e+001   4.50e+001
000064     9.47e+001   4.49e+001
000032     9.44e+001   4.49e+001
000016     9.44e+001   4.49e+001
000008     9.41e+001   4.49e+001
000004     9.35e+001   4.51e+001
000002     9.41e+001   4.55e+001
000001     9.53e+001   4.56e+001
5.000000e-001     9.67e+001   4.57e+001
2.500000e-001     9.82e+001   4.52e+001
1.250000e-001     9.47e+001   4.48e+001
6.250000e-002     9.10e+001   4.70e+001
3.130000e-002     9.44e+001   5.10e+001
1.600000e-002     1.08e+002   5.45e+001
000512     9.67e+001   4.59e+001
000256     9.56e+001   4.52e+001
000128     9.51e+001   4.50e+001
000064     9.46e+001   4.49e+001
000032     9.45e+001   4.50e+001
000016     9.47e+001   4.50e+001
000008     9.41e+001   4.49e+001
000004     9.36e+001   4.52e+001
000002     9.47e+001   4.56e+001
000001     9.59e+001   4.55e+001
5.000000e-001     9.67e+001   4.54e+001
2.500000e-001     9.79e+001   4.49e+001
1.250000e-001     9.37e+001   4.45e+001
6.250000e-002     8.96e+001   4.68e+001
3.130000e-002     9.28e+001   5.09e+001
1.600000e-002     1.06e+002   5.44e+001
000512     9.67e+001   4.59e+001
000256     9.56e+001   4.52e+001
000128     9.50e+001   4.50e+001
000064     9.49e+001   4.50e+001
000032     9.56e+001   4.48e+001
000016     9.50e+001   4.42e+001
000008     9.26e+001   4.40e+001
000004     9.06e+001   4.43e+001
000002     9.05e+001   4.46e+001
000001     9.00e+001   4.44e+001
